,평점,일시,감상평
101,10,2020.06.04 12:28,시간 순삭하게 하는 여름에 관람하기 좋은 스릴러 영화
102,10,2020.06.04 12:12,우리나라에서도 드디어 이런영화가!!
103,10,2020.06.05 15:43,과연 침입자는 누굴까용?!ㅋㅋㅋ 영화보시면 압니다!!
104,9,2020.06.05 15:43,영화 보는 내내 송지효를 의심하게됨..
105,8,2020.06.05 09:47,영화 보는 내내 송지효를 의심하게됨..
106,10,2020.06.04 23:56,지효누나 하고픈거 다해
107,10,2020.06.04 23:19,연기를 이렇게 잘 했나 대박 영화
108,10,2020.06.04 19:12,재밌으면 좋아요를 눌러주세요
109,10,2020.06.04 18:31,지효누나 무열이형 최고의 영화 감사해요.
110,10,2020.06.04 18:17,배우들 연기가 너무 좋고 연출도 신선했음
111,10,2020.06.04 17:34,
112,10,2020.06.04 14:49,배우들 연기 완전 쩔었음 ㅠ 광신도 무셔 무셔~~~!!
113,10,2020.06.04 18:32,"영화를 보는내내 심장 졸이며 봤네요ㅠㅠ오랜만의 한국 스릴러라 기대했는데 기대를 저버리지 않았습니다:) 스토리전개에 있어서 긴장감을 계속 이어갈 수 있었던 것같아요! 솔직히 송지효라는 배우의 진정한 연기력이 펼쳐질 수 있는 영화가 없었던 것 같습니다. 런닝맨의 이미지 때문에 더욱 밝은 역할만 있었던게 아닌가 싶구요..근데 이번에 침입자 영화를 보고 물론 후반부의 개연성에서는 아쉬움이 있었지만 연기력을 두고 보았을때 송지효의 진면모, 배우로서의 새출발이 되는 영화가 아닐까 싶습니다. 감정을 표현하는 데에 있어서 정말 예리하고 섬세하게 표현되었다는게 영화를 보는 내내 느껴졌을 정도로 잘 해내주신것같아요:) 인터뷰를 보니 손원평 감독님이 송지효 배우님의 서늘하고 사연있는 듯한 마스크를 드러내고 싶다고 하셨는데 해내셨네요..정말 연기를 보는 내내 내가 알던 송지효가 맞나 했습니다. 침입자 강력추천합니다! "
114,10,2020.06.04 17:06,
115,6,2020.06.04 15:19,다보고나서 나만 화나나? 그냥 이렇게 끝나버린다고? 뉴스의 한장면으로 에필로그를 내버리신다라? 이 사건으로 형사는 김무열에게 어떤 용서를 빌었는지 이 사건으로 의사 및 다른 공모자들을 어떻게 처리했는지 이런건 나만 궁금해? 근데 동생은 전혀 안궁금했다 ㄹㅇ로 
116,10,2020.06.04 16:44,연기력이 정말 좋은 배우가 나옴
117,10,2020.06.04 15:03,스토리가 정말 탄탄!  송지효 x 김무열 조합 발란스가 잘 맞아서 좋았습니다.. 입소문으로 대박날거같은 느낌적인 느낌...
118,10,2020.06.04 15:47,
119,9,2020.06.05 16:18,연기 구멍 없는 영화라 좋았습니다
120,10,2020.06.04 17:54,후반부가 힘들어도 역시 연기는 좋았다! 눈이 좀 아프긴 하네요.
121,10,2020.06.04 15:15,
122,10,2020.06.05 00:49,긴장감도 있고 중간중간 반전 포인트가 있어서 지루할 틈이 없네요. 재밌어요
123,10,2020.06.04 19:19,스릴있고 재밌었어요! 추천입니다!!
124,10,2020.06.04 19:15,지효언니랑 무열오빠 둘 다 좋아하는 배우라 봤는데 생각보다 더 재밌었다.. 꼭 보세효
125,8,2020.06.04 19:02,후반부 힘이 빠지는 게 아쉽긴 하지만 중반부까지는 진짜 재밌게 봤습니다. 볼만한 영화예요!
126,10,2020.06.04 14:44,나는 스릴러를 보는 것을 좋아하지 않았지만 정말 좋아했습니다.매우 흥미롭고 흥미 롭습니다
127,10,2020.06.05 01:04,다른건 모르겠고 송지효 연기력 쩌네 ㄷㄷ예전에 주몽에서는 진심 발연기 쩔ㅇ어 보기 불편할 정도였는데 연기력 진심 개쩜
128,10,2020.06.05 00:29,"송지효,김무열 두 배우님의 뛰어난 연기력으로 극도의 긴장감을 일으켜 두손의 땀을 쥐게 만드네요~!!! 정말 흥미진진하게 봤습니다~^^"
